Sprite ID,Description,Attributes,Cost,X,Y
0,Raspberries,"Sweet, Sour, Fruit",2,0,0
1,Chili Peppers,"Spicy, Vegetable",1,0,0
2,Chocolate Cake Slice with Red Berries,"Sweet, Dessert ",3,0,0
3,Red Macarons,"Sweet, Pastry ",5,0,0
4,Red Gelatin / Jelly,"Sweet, Dessert ",1,0,0
5,Watermelon Slices,"Sweet, Drink",1,0,0
6,Red Juice / Cocktail,"Sweet, Drink",4,0,0
7,Red Glazed Donut,"Sweet, Pastry ",2,0,0
8,Red Frosted Donut with Sprinkles,"Sweet, Pastry ",3,0,0
9,Red Cupcake,"Sweet, Dessert ",2,0,0
10,Strawberry Tart,"Sweet, Sour, Pastry ",3,0,0
11,Strawberry Shortcake Slice,"Sweet, Sour, Pastry ",3,0,0
12,Red Popsicle,"Sweet, Dessert ",1,0,0
13,Orange Popsicle,"Sweet, Dessert ",1,0,0
14,Watermelon Popsicle,"Sweet, Drink",1,0,0
15,Red Apple,"Sweet, Fruit",1,0,0
16,Red Chips Bag,"Savory, Salty, Snack",1,0,0
17,Red Soda Bottle,"Sweet, Drink",2,0,0
18,Pink Cotton Candy,"Sweet, Dessert ",1,0,0
19,Red Soda Can,"Sweet, Drink",1,0,0
20,Strawberry Jam Jar,"Sweet, Sour, Condiment / Ingredient",2,0,0
21,Red Grapes / Currants,"Sweet, Sour, Fruit",2,0,0
22,Whole Strawberry Cake,"Sweet, Sour, Dessert ",5,0,0
23,Fresh Strawberries,"Sweet, Sour, Fruit",2,0,0
24,Dragonfruit (Green/Red),"Sweet, Fruit",2,0,0
25,Dragonfruit (Pink/White),"Sweet, Fruit",2,0,0
26,Chocolate Bar in Red Wrapper,"Sweet, Dessert ",1,0,0
27,Chocolate Pocky Sticks,"Sweet, Dessert ",1,0,0
28,Plain Glazed Donut,"Sweet, Pastry ",2,0,0
29,Plain Glazed Donut with Sprinkles,"Sweet, Pastry ",3,0,0
30,Chocolate Frosted Donut,"Sweet, Pastry ",2,0,0
31,Chocolate Frosted Donut with Sprinkles,"Sweet, Pastry ",3,0,0
32,Bagel Sandwich 1,"Savory, Salty, Carbs",4,0,0
33,Bagel Sandwich 2,"Savory, Salty, Carbs",4,0,0
34,Hamburger,"Savory, Salty,  Savory",4,0,0
35,Cheeseburger,"Savory, Salty,  Savory",3,0,0
36,Cheese Pizza Slice,"Savory, Salty,  Savory",3,0,0
37,Pepperoni Pizza Slice,"Savory, Salty,  Savory",3,0,0
38,Corn Dog,"Savory, Salty, Earthy, Vegetable",2,0,0
39,Quiche / Cheese Pie Slice,"Savory, Salty,  Savory",4,0,0
40,Carrot Cake Slice,"Sweet, Dessert ",3,0,0
41,Baguette / Bread Loaf,"Savory, Salty, Carbs",2,0,0
42,Croissant,"Savory, Salty, Pastry ",3,0,0
43,Chocolate Covered Strawberry 1,"Sweet, Sour, Dessert ",2,0,0
44,Chocolate Covered Strawberry 2,"Sweet, Sour, Dessert ",2,0,0
45,Chocolate Pastry / Pan au Chocolat,"Sweet, Pastry ",3,0,0
46,Orange Popsicle,"Sweet, Dessert ",1,0,0
47,Egg Tart,"Sweet, Pastry ",3,0,0
48,Spaghetti / Noodles,"Savory, Salty, Carbs",4,0,0
49,Orange Chips Bag,"Savory, Salty, Snack",1,0,0
50,Takoyaki,"Savory, Salty,  Savory",3,0,0
51,Orange Slices,"Sweet, Sour, Fruit",1,0,0
52,Folded Crepe,"Sweet, Pastry ",3,0,0
53,Crepe with Strawberries,"Sweet, Sour, Pastry ",4,0,0
54,Peeled Banana,"Sweet, Fruit",1,0,0
55,Honey / Yellow Jam Jar,"Sweet, Condiment / Ingredient",2,0,0
56,Raw Corn on the Cob,"Earthy, Savory, Vegetable",1,0,0
57,Cooked Corn on the Cob,"Earthy, Savory, Vegetable",2,0,0
58,Lemon Meringue Pie Slice,"Sweet, Sour, Pastry ",4,0,0
